Complexity,Loss,Equation
1,30.71181,"3.6147873"
3,3.2285497,"x0 * x0"
5,3.177889,"(x0 * x0) + -0.22517937"
6,1.2782629,"(x0 * x0) + cos(x3)"
8,0.24419214,"(cos(x3) * 2.4309664) + (x0 * x0)"
9,0.24167436,"(2.6441052 * sin(cos(x3))) + (x0 * x0)"
10,1.401394e-13,"(cos(x3) * 2.5382001) + ((x0 * x0) + -0.49999997)"
12,1.0272878e-13,"((cos(x3) * 2.5382001) + 0.33075568) + ((x0 * x0) + -0.8307557)"
16,9.2288055e-14,"(x0 * 9.6353745e-8) + (((cos(x3) * 2.5382001) + 0.3307557) + ((x0 * x0) + -0.8307557))"
18,8.8517925e-14,"((x0 * x0) + ((-5.2249447e-8 * cos(inv(x2))) + -0.792725)) + ((cos(x3) * 2.5382001) + 0.29272506)"
19,8.514285e-14,"((cos(x3) * 2.5382001) + 0.29272506) + ((x0 * x0) + ((cos(cos(cos(x1))) * -4.9320402e-8) + -0.792725))"
20,8.4645466e-14,"((x0 * x0) + ((cos(cos(inv(cos(x1)))) * -5.2249447e-8) + -0.792725)) + ((cos(x3) * 2.5382001) + 0.29272506)"
